transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0xbcf3a3aa638bcb9029a23b689d6f0285cd968bc6e763f6133f0b114f7742150a,65,0x0a6820d8d1916fae760945d4c8e6d710eab715d3fa5364099c5fc23d58d4d7cc,20500015,10937326,41309,,,1,2983704207,,,,,,
0xbcfeed0bf2751dfe1835e34b3647a69020022c4844e64d27593df6a6a2a29a8a,80,0xac660a3eb31177b390d1f3b66b518e3c0d7aa6f1c98f24fc18953f6b04e130c2,20500072,6410093,66511,,,1,856557342,,,,,,
0xbd00d2ba53e49686681bebf00cd4ce70198def361274e12dd9a351bcc8f20c36,9,0xee378fb6c03c43c5ee08110e62def7f4b400a810bf68a27c8eda3b5471cc42ef,20500062,1168962,120298,,,1,17009329369,,,,,,
0xbd129bebc5df21defbff5e6abb93523c139deedf3218e2a093a7a06ebb4a5c66,31,0xff1df54c8021102af748fc1780f12928c3139419ded8713f79b09b0a147428c5,20500028,2222732,198715,,,1,2470000000,,,,,,
0xbd2c2e4d80d0cd9edd054f9d9a26ca018f73d66f28304732f0cef0ac0c52fc68,42,0x1382b01cdcdff7ddf03ab6f5b8d5731e52e7dfe72ed3be15bcefe7ec6fdda3f9,20500092,24993620,41309,,,1,1802807609,,,,,,
0xbd32c89a235ec40f40b76285a187629aeda48e247bb0689340f17295a7a84df2,1,0x2bfa0a240099d452853e30db4bbf9fbfd49ca20e664e0f8f9b8f546dd1cb4e6b,20500095,2998497,194738,,,1,1104315762,,,,,,
0xbd374607bfa296d920538b24a6fe2da5134ec39f705fee11bd6a8df763ba30d6,136,0xe9c142141a691de85f3c95a611435efc30817a6b9b8b3c01513934da16c6cff7,20500089,12242893,46109,,,1,2000000000,,,,,,
0xbd43a85e6df6a541f0110e308c5b012e1e9bfacecfc97a31721072da18b54155,113,0xe9c142141a691de85f3c95a611435efc30817a6b9b8b3c01513934da16c6cff7,20500089,9549523,390859,,,1,1259818873,,,,,,
0xbd49f9ff6c32afb1bdd391a0c66e7f4fbe630009649d0bf51af66261bc649bf9,114,0x5f14a36d0dcb6d40f7823d8f14c36d7b5433b357a7a9ae753e65f17717464aa1,20500008,26062500,31799,,,1,885393817,,,,,,
0xbd52a184706709e32dc49fe68c597468d3b75546c187bd5ec9b5635bba0e31b6,21,0xb48b09e92dc7345048955fcb1ef6824a1e334d195d598e919dbfcf4e4e509b59,20500074,20585864,58409,,,1,1710759826,,,,,,
