tx_hash,log_index,dex,pair_or_pool,token_in,token_out,amount_in,amount_out
0x000e82299a789bd8626148db7be85a44940e753c7aaf5f443486df0b3517b278,127,UNI-V2,0xE7fAd1BCB1E3b7a2d7000042C806e035ca2f537C,CHIBA.ETH,WETH.ETH,1108240000.0000002,0.016997957540252275
0x003aa699175063e17686937729de5539eb29fe2063b06051aebc157fe0d166dc,53,UNI-V3,0xD3248CDAfdDD8DdA92dc53df4ce99A5031B9E897,WETH.ETH,NTGL.ETH,0.7875228579913253,15181.959927140255
0x003aa699175063e17686937729de5539eb29fe2063b06051aebc157fe0d166dc,56,UNI-V3,0xc7bBeC68d12a0d1830360F8Ec58fA599bA1b0e9b,USDT.ETH,WETH.ETH,2057.077903,0.7875228579913253
0x003aa699175063e17686937729de5539eb29fe2063b06051aebc157fe0d166dc,59,UNI-V3,0x3416cF6C708Da44DB2624D63ea0AAef7113527C6,USDC.ETH,USDT.ETH,2057.529118,2057.077903
0x003bb4933a0366087e7c010c49aa9730de417388ae53c424702ea3fe5f2dde35,78,UNI-V2,0x3C77C3c34A1F41fdc62C7ba30043444C70D325CD,WETH.ETH,AZALEA.ETH,0.060076976903490176,134548920611.48032
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,193,UNI-V2,0x4103E658a8AcAB924a9a2d3750E6cf3Fb932A186,WETH.ETH,ONI.ETH,0.01239999999639552,4327831.988191975
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,196,UNI-V2,0x15F33FeCD45006377DaC0b70c022C70ADdd646fa,ONI.ETH,NEIRO.ETH,4327831.988191975,124.251041792
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,197,UNI-V3,0xFA45c879Fd120d6Cc493113Ae212A853531F3d91,WETH.ETH,NEIRO.ETH,0.012644491328487424,124.251041645
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,202,UNI-V2,0xe0533126C4013e2F5bcF44a2c84A396219BE2d9d,WETH.ETH,9INCH.ETH,0.025099999985532927,61333187.01707735
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,205,UNI-V2,0xa759Ae56Db0bDd940163a18061218673bDE8E519,9INCH.ETH,HEX.ETH,61333187.01707735,58151.10664192
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,209,UNI-V2,0x4103E658a8AcAB924a9a2d3750E6cf3Fb932A186,WETH.ETH,ONI.ETH,0.010099999996116993,3523651.4405029723
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,212,UNI-V2,0x2Aef4737369F72C2c23Fa93675cA440F2C59aA05,ONI.ETH,n.ETH,3523651.4405029723,110696872.24465013
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,215,UNI-V2,0x5CB48477cbA7E4d8104AC5856dFD2Ea16da4D036,n.ETH,WETH.ETH,109589903.52220362,0.010341806168342528
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,216,UNI-V3,0x9e0905249CeEFfFB9605E034b534544684A58BE6,WETH.ETH,HEX.ETH,0.025294030401175553,58151.10662902
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,221,UNI-V2,0xD440CA5d80BD9771b0080AeD44F702cB68010a7b,SHIB.ETH,BBC.ETH,1112518.3926419443,3610.709326396813
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,224,UNI-V2,0xa1E94f686a1BaA4196852b67200A07E25A4814A8,BBC.ETH,HEX.ETH,3610.709326396813,14317.93762304
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,226,UNI-V3,0x2F62f2B4c5fcd7570a709DeC05D68EA19c82A9ec,SHIB.ETH,WETH.ETH,1112518.3926419443,0.005999999989055488
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,227,UNI-V3,0x9e0905249CeEFfFB9605E034b534544684A58BE6,WETH.ETH,HEX.ETH,0.006226052892327936,14317.93759182
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,232,UNI-V2,0x2FEBA6992aAA7B2397E5B212AE060C76857Cf9Bb,WETH.ETH,HEX.ETH,0.008999999983583232,20870.59456
0x0079e3ad83e529c27f0e465e184ec7e74746464d3add7a177d651dd1bfb751d2,233,UNI-V3,0x9e0905249CeEFfFB9605E034b534544684A58BE6,WETH.ETH,HEX.ETH,0.009074133384036351,20870.59452352
0x00c5fe3c5fe45e5164bc30263db7eb2e545fb4e04d99635d76b83cc0fa579596,119,UNI-V3,0x2DF7f6Afd1e7d6CB0655d9666A880D907EAdd794,SWITCH.ETH,WETH.ETH,333956.63085351,0.10498217337893684
0x00cd4b19dc3b01a7f3891815965d743216c4ef6c04bb323b4f79068e0af861bb,44,UNI-V2,0xd9fe79a0B8D00B0eEeca68Dd802d7c9574F7ed25,WETH.ETH,APUGURL.ETH,0.2475,290112224.7813439
0x00db866cafbdbc70ce743e18f6d1a8330bf6e7b0a5f101fc2a2df16fbb47bcc3,20,UNI-V2,0x5BEd065eCEE481f77Eea07a07e934f144f94CDE6,WETH.ETH,BTCBR.ETH,0.03348718301989375,48916598.948419526
0x00db866cafbdbc70ce743e18f6d1a8330bf6e7b0a5f101fc2a2df16fbb47bcc3,25,UNI-V2,0x46FfF8A2f03eeB26Eb8C2cf175d006EDA0195E14,WETH.ETH,BTCBR.ETH,0.00478388328855625,6824789.0967381075
0x00e498f0ef63c5a28c641375b4769c8467adb998b00f3cddfcb549aa4c583c9e,74,UNI-V2,0xF00E0831E620280b028452b634735EA21E5CaD77,CHIB.ETH,WETH.ETH,5507019.963506372,0.034585771230141615
0x01374d9e22657ce11236c1cd3add34777a730f5e40f138db531fb1cabb373e4e,33,UNI-V3,0xFA45c879Fd120d6Cc493113Ae212A853531F3d91,NEIRO.ETH,WETH.ETH,13265.028579329,1.3590372434339655
0x014923099af72544683f135e9ae14f00155901169e2ab2850d59d86c5dfb4ebd,34,UNI-V2,0x5DBFD0a95E8687f940358F499588eac44fEd046f,KABOSU.ETH,WETH.ETH,769406.6085962284,0.11723566829343808
0x014923099af72544683f135e9ae14f00155901169e2ab2850d59d86c5dfb4ebd,40,UNI-V2,0x5DBFD0a95E8687f940358F499588eac44fEd046f,KABOSU.ETH,WETH.ETH,3077626.4343849136,0.4455858468213035
0x016538cc3ac1c36657d61c3a64ceedaa4b3279c48cfc28805a2c285cd6c00971,279,UNI-V2,0x3C77C3c34A1F41fdc62C7ba30043444C70D325CD,WETH.ETH,AZALEA.ETH,0.1,213400697383.7675
