pool,token0,token1
0xE7fAd1BCB1E3b7a2d7000042C806e035ca2f537C,0xB65A4597DDBbA5cDda3262c2c432BD05E1d30Ddc,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
0xD3248CDAfdDD8DdA92dc53df4ce99A5031B9E897,0x12652C6d93FDB6F4f37d48A8687783C782BB0d10,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
0xc7bBeC68d12a0d1830360F8Ec58fA599bA1b0e9b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7
0x3416cF6C708Da44DB2624D63ea0AAef7113527C6,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7
0x3C77C3c34A1F41fdc62C7ba30043444C70D325CD,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF84A4AB89AC8b5b55d891795258Fe8b1aa420ccd
0x4103E658a8AcAB924a9a2d3750E6cf3Fb932A186,0x7777Cec341E7434126864195adEf9B05DCC3489C,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
0x15F33FeCD45006377DaC0b70c022C70ADdd646fa,0x7777Cec341E7434126864195adEf9B05DCC3489C,0xEE2a03Aa6Dacf51C18679C516ad5283d8E7C2637
0xFA45c879Fd120d6Cc493113Ae212A853531F3d91,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xEE2a03Aa6Dacf51C18679C516ad5283d8E7C2637
0xe0533126C4013e2F5bcF44a2c84A396219BE2d9d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xFD8b9Ba4845fB38c779317eC134b298C064937a2
0xa759Ae56Db0bDd940163a18061218673bDE8E519,0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,0xFD8b9Ba4845fB38c779317eC134b298C064937a2
0x2Aef4737369F72C2c23Fa93675cA440F2C59aA05,0x7777Cec341E7434126864195adEf9B05DCC3489C,0xc7bb03ddD9311fc0338bE013E7B523254092Fda9
